,Cid,Pressure,PressureOffset,Flow,setpointChangeTime,preChangeTime,inChangeTime,postChangeTime,PtI,ItP,It
0,F7007000,700,700,0.8609333333333333,6755.3641423,6758.5874317,6768.0691529,6776.9486695,9.48172119999981,8.879516599999988,0.0
1,F7007001,700,700,0.8251000000000003,6900.812278599999,6904.0606109,6913.9641529,6923.6522328,9.903542000000016,9.688079900000048,1.0
2,F7007002,700,700,0.8574791666666668,7047.134483899999,7050.367729799999,7059.867152899999,7069.40115,9.499423100000058,9.533997100000306,2.0
3,F7006000,700,600,0.7207888888888888,7196.9757868,7201.3072277,7212.0431529,7223.121907299999,10.735925199999656,11.078754399999525,0.0
4,F7006001,700,600,0.7476877551020411,7342.8388451,7346.0602306,7356.5831529,7367.9021219,10.522922299999664,11.318968999999925,1.0
5,F7006002,700,600,0.7174680000000002,7486.491102,7490.7776177,7501.4531529,7512.685337399999,10.675535200000013,11.232184499999676,2.0
6,F7005000,700,500,0.6296392857142855,7635.4474978,7639.7989594,7651.322152899999,7665.607938599999,11.523193499999252,14.285785699999906,0.0
7,F7005001,700,500,0.6057814814814814,7786.1117914,7790.429249399999,7802.5131529,7816.371577,12.083903500000815,13.858424099999866,1.0
8,F7005002,700,500,0.6312230769230772,7942.1032503,7946.4635928,7958.0031529,7972.400615699999,11.539560100000017,14.39746279999963,2.0
9,F7004000,700,400,0.4882354838709677,8101.329556199999,8105.6607718,8119.7361529,8138.2307316999995,14.075381100000413,18.494578799999545,0.0
10,F7004001,700,400,0.5078213114754099,8257.4270247,8262.8166221,8275.5331529,8295.1694644,12.716530800000328,19.636311500000375,1.0
11,F7004002,700,400,0.48764426229508206,8418.768682799999,8424.1961407,8437.3101529,8456.0120162,13.114012199999706,18.701863300000696,2.0
12,F7003000,700,300,0.38232957746478896,8574.4440265,8578.717768,8595.119152899999,8621.932883899999,16.401384899998448,26.81373100000019,0.0
13,F7003001,700,300,0.3671763888888886,8752.7863948,8756.0865712,8773.1091529,8799.8718161,17.022581700000956,26.762663199999224,1.0
14,F7003002,700,300,0.38295000000000007,8924.940141199999,8929.2843109,8945.468152899999,8944.6046836,16.18384199999855,-0.8634692999985418,2.0
